"ActualValue","Commandlet","Control","Criticality","ReportDetails","Requirement","RequirementMet"
"2","Get-SPOSite, Get-PnPTenantSite","Sharepoint 2.5","Shall","Requirement met","Users SHALL be prevented from running custom scripts on self-service created sites","True"
"2","Get-SPOTenant, Get-PnPTenant","Sharepoint 2.2","Should","Requirement not met","External sharing SHOULD be limited to approved domains and security groups per interagency collaboration needs","False"
,"","Sharepoint 2.3","Should/Not-Implemented","Currently cannot be checked automatically. See Sharepoint Secure Configuration Baseline policy 2.3 for instructions on manual check","Sharing settings for specific SharePoint sites SHOULD align to their sensitivity level","False"
,"","Sharepoint 2.5","Shall/Not-Implemented","Currently cannot be checked automatically. See Sharepoint Secure Configuration Baseline policy 2.5 for instructions on manual check","Users SHALL be prevented from running custom scripts on personal sites (OneDrive)","False"
"[2,false,30]","Get-SPOTenant, Get-PnPTenant","Sharepoint 2.4","Should","Requirement not met: Expiration timer for 'People who use a verification code' NOT enabled","Expiration timer for 'People who use a verification code' should be set to 30 days","False"
"[2,false,60]","Get-SPOTenant, Get-PnPTenant","Sharepoint 2.4","Should","Requirement not met","Expiration timer for 'Guest access to a site or OneDrive' should be set to 30 days","False"
"true","Get-CsTeamsMeetingPolicy","Teams 2.9","Should","Requirement not met","Cloud video recording SHOULD be disabled in the global (org-wide default) meeting policy","False"
"""AlwaysEnabled""","Get-CsTeamsMeetingBroadcastPolicy","Teams 2.10","Should","Requirement not met","Record an event SHOULD be set to Organizer can record","False"
"""EveryoneInCompany""","Get-CsTeamsMeetingPolicy","Teams 2.3","Should","Requirement met","Internal users SHOULD be admitted automatically","True"
,"","Teams 2.11","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","A DLP solution SHALL be enabled","False"
,"","Teams 2.11","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","The DLP solution SHALL protect Personally Identifiable Information (PII) and sensitive information, as defined by the agency. At a minimum, the sharing of credit card numbers, taxpayer Identification Numbers (TIN), and Social Security Numbers (SSN) via email SHALL be restricted","False"
,"","Teams 2.11","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Agencies SHOULD use either the native DLP solution offered by Microsoft or a DLP solution that offers comparable services","False"
,"","Teams 2.12","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Attachments included with Teams messages SHOULD be scanned for malware","False"
,"","Teams 2.12","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Users SHOULD be prevented from opening or downloading files detected as malware","False"
,"","Teams 2.13","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Direct download links SHOULD be scanned for malware","False"
,"","Teams 2.13","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","URL comparison with a block-list SHOULD be enabled","False"
,"","Teams 2.13","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","User click tracking SHOULD be enabled","False"
,"","Teams 2.8","Shall/3rd Party","Cannot be checked automatically. See Microsoft Teams Secure Configuration Baseline policy 2.8 for instructions on manual check","Agencies SHALL establish policy dictating the app review and approval process to be used by the agency","False"
"[""EveryoneInCompany"",false]","Get-CsTeamsMeetingPolicy","Teams 2.3","Should","Requirement met","Anonymous users, including dial-in users, SHOULD NOT be admitted automatically","True"
"[{""value"":[],""Count"":0},""MicrosoftCommunicationsOnline/NOAM-ED6-A7""]","Get-CsTeamsClientConfiguration","Teams 2.7","Shall","Requirement met","Teams email integration SHALL be disabled","True"
,"Get-CsTeamsAppPermissionPolicy","Teams 2.8","Should","Requirement met","Agencies SHOULD allow all apps published by Microsoft, but MAY block specific Microsoft apps as needed","True"
,"Get-CsTeamsMeetingPolicy","Teams 2.1","Should","Requirement met","External participants SHOULD NOT be enabled to request control of shared desktops or windows in the Global (Org-wide default) meeting policy or in custom meeting policies if any exist","True"
,"Get-CsTeamsMeetingPolicy","Teams 2.2","Shall","Requirement met","Anonymous users SHALL NOT be enabled to start meetings in the Global (Org-wide default) meeting policy or in custom meeting policies if any exist","True"
,"Get-CsTeamsMeetingPolicy","Teams 2.4","Should","Requirement met","Anonymous users SHOULD be enabled to join meetings","True"
,"Get-CsTeamsMeetingPolicy","Teams 2.9","Should","Requirement met","For all meeting polices that allow cloud recording, recordings SHOULD be stored inside the country of that agency's tenant","True"
,"Get-CsTenantFederationConfiguration","Teams 2.4","Shall","Requirement met","External access SHALL only be enabled on a per-domain basis","True"
,"Get-CsTenantFederationConfiguration","Teams 2.6","Shall","Requirement met","Contact with Skype users SHALL be blocked","True"
"""Global""","Get-CsTeamsAppPermissionPolicy","Teams 2.8","Should","1 meeting policy(ies) found that allow custom apps by default: Global","Agencies SHOULD NOT allow installation of all custom apps, but MAY allow specific apps as needed","False"
"""Global""","Get-CsTeamsAppPermissionPolicy","Teams 2.8","Should","1 meeting policy(ies) found that allow third-party apps by default: Global","Agencies SHOULD NOT allow installation of all third-party apps, but MAY allow specific apps as needed","False"
"""Global""","Get-CsTenantFederationConfiguration","Teams 2.5","Shall","1 Configuration allowed unmanaged users to initiate contact with internal user across domains: Global","Unmanaged users SHALL NOT be enabled to initiate contact with internal users","False"
"""Global""","Get-CsTenantFederationConfiguration","Teams 2.5","Should","1 Internal users are enabled to initiate contact with unmanaged users across domains: Global","Internal users SHOULD NOT be enabled to initiate contact with unmanaged users","False"
