"Control ID","Requirement","Result","Criticality","Details","OmittedEvaluationResult","OmittedEvaluationDetails","IncorrectResult","IncorrectResultDetails","OriginalResult","OriginalDetails","Comments","ResolutionDate"
"MS.SHAREPOINT.3.2v1","The allowable file and folder permissions for links SHALL be set to view only.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","This policy is only applicable if the external sharing slider in the SharePoint admin center is set to Anyone. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#mssharepoint32v1 for more info","N/A","N/A","N/A","N/A","Pass","This policy is only applicable if the external sharing slider in the SharePoint admin center is set to Anyone. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#mssharepoint32v1"" target=""_blank"">Secure Configuration Baseline policy</a> for more info","System.Object[]",
"MS.SHAREPOINT.3.3v1","Reauthentication days for people who use a verification code SHALL be set to 30 days or less.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","This policy is only applicable if the external sharing slider in the SharePoint admin center is set to Anyone or New and Existing Guests. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#mssharepoint33v1 for more info","N/A","N/A","N/A","N/A","Pass","This policy is only applicable if the external sharing slider in the SharePoint admin center is set to Anyone or New and Existing Guests. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#mssharepoint33v1"" target=""_blank"">Secure Configuration Baseline policy</a> for more info","System.Object[]",
"MS.TEAMS.1.1v1","External meeting participants SHOULD NOT be enabled to request control of shared desktops or windows.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.TEAMS.1.2v2","Anonymous users SHALL NOT be enabled to start meetings.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.TEAMS.1.3v1","Anonymous users and dial-in callers SHOULD NOT be admitted automatically.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.TEAMS.1.4v1","Internal users SHOULD be admitted automatically.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.TEAMS.1.5v1","Dial-in users SHOULD NOT be enabled to bypass the lobby.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.TEAMS.1.6v1","Meeting recording SHOULD be disabled.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.TEAMS.1.7v2","Record an event SHOULD NOT be set to Always record.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.TEAMS.2.1v2","External access for users SHALL only be enabled on a per-domain basis.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.TEAMS.2.2v2","Unmanaged users SHALL NOT be enabled to initiate contact with internal users.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","This policy is not applicable to GCC, GCC High, or DOD environments. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#msteams22v2 for more info","N/A","N/A","N/A","N/A","Pass","This policy is not applicable to GCC, GCC High, or DOD environments. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#msteams22v2"" target=""_blank"">Secure Configuration Baseline policy</a> for more info","System.Object[]",
"MS.TEAMS.2.3v2","Internal users SHOULD NOT be enabled to initiate contact with unmanaged users.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Should","This policy is not applicable to GCC, GCC High, or DOD environments. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#msteams23v2 for more info","N/A","N/A","N/A","N/A","Pass","This policy is not applicable to GCC, GCC High, or DOD environments. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#msteams23v2"" target=""_blank"">Secure Configuration Baseline policy</a> for more info","System.Object[]",
"MS.TEAMS.4.1v1","Teams email integration SHALL be disabled.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","This policy is not applicable to GCC, GCC High, or DOD environments. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#msteams41v1 for more info","N/A","N/A","N/A","N/A","Pass","This policy is not applicable to GCC, GCC High, or DOD environments. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#msteams41v1"" target=""_blank"">Secure Configuration Baseline policy</a> for more info","System.Object[]",
"MS.TEAMS.5.1v2","Agencies SHOULD only allow installation of Microsoft apps approved by the agency.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Warning","Should","Org-wide tenant setting (Microsoft apps): All - Non-compliant (should be set to None)","N/A","N/A","N/A","N/A","Warning","Org-wide tenant setting (Microsoft apps): All - Non-compliant (should be set to None)","System.Object[]",
"MS.TEAMS.5.2v2","Agencies SHOULD only allow installation of third-party apps approved by the agency.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Warning","Should","Org-wide tenant setting (third-party apps): All - Non-compliant (should be set to None)","N/A","N/A","N/A","N/A","Warning","Org-wide tenant setting (third-party apps): All - Non-compliant (should be set to None)","System.Object[]",
"MS.TEAMS.5.3v2","Agencies SHOULD only allow installation of custom apps approved by the agency.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/teams.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Warning","Should","Org-wide tenant setting (custom apps): All - Non-compliant (should be set to None)","N/A","N/A","N/A","N/A","Warning","Org-wide tenant setting (custom apps): All - Non-compliant (should be set to None)","System.Object[]",
